NiO/ZnO,TGS 826,TGS 822,TGS 2600,TGS 2602,ZnO,Cr-doped ZnO,Class
0.97621,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.9771,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.9748,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97303,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.97332,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97204,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.96479,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.97064,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.96923,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.97006,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.96712,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.9634,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.96369,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.96669,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95932,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.9591,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95855,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95124,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95218,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95253,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95163,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.95264,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.94691,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.9272,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.94434,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.93298,1.0,1.0,0.95652,0.57692,,,Acetone 5 ppm
0.91845,1.0,1.0,0.95652,0.55556,,,Acetone 5 ppm
0.92457,1.0,1.06667,0.95652,0.57692,,,Acetone 5 ppm
1.00615,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.03342,1.0,1.06667,0.95652,0.57692,,,Acetone 5 ppm
1.06222,1.0,1.06667,0.95652,0.57692,,,Acetone 5 ppm
1.08779,1.0,1.06667,0.95652,0.57692,,,Acetone 5 ppm
1.12636,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.17799,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.23855,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
1.24336,1.0,1.06667,0.95652,0.55556,,,Acetone 5 ppm
